mutation,interactor,pred_after,pred_logic_0,pred_logic_1,label_after,label_before
smile.56997_7778,smile.57085,1,0.13860474526882172,-0.48004817962646484,0,1
smile.2010_6172,smile.55734,0,-1.1112273931503296,1.5195902585983276,0,1
smile.5176_8807,smile.9852,1,0.13846540451049805,-0.48094069957733154,0,1
smile.10133_11123,smile.10133,0,-2.0384254455566406,2.4689881801605225,0,1
smile.5354_7812,smile.10488,1,-0.14189472794532776,-1.759126901626587,0,1
smile.56997_900203,smile.57085,1,0.13849274814128876,-0.48064249753952026,0,1
smile.1413_22896,smile.22806,1,-0.7774802446365356,-4.422242164611816,1,1
smile.2010_6159,smile.10488,0,-1.74728524684906,2.1709563732147217,0,1
smile.1146_31615,smile.3881,1,-1.0924131870269775,-5.7425408363342285,1,1
smile.79577_20643,smile.147872,1,-0.7212138175964355,-4.186567306518555,1,1
smile.4000_7214,smile.4000,1,-0.6227747201919556,-3.774237871170044,1,1
smile.84547_900214,smile.7186,0,-1.9627798795700073,2.391448736190796,0,1
smile.4088_900229,smile.1406,0,-1.8359547853469849,2.2616121768951416,0,1
smile.2010_6161,smile.8815,0,-1.7657638788223267,2.1896238327026367,0,1
smile.3853_9184,smile.8687,0,-1.0823651552200317,1.4905359745025635,0,1
smile.114327_900201,smile.85376,1,0.039352163672447205,-1.0003787279129028,0,1
smile.2896_3634,smile.6449,1,0.027807682752609253,-1.0470765829086304,1,1
smile.60_12760,smile.60,1,0.08807893097400665,-0.7482548356056213,0,1
smile.2896_3635,smile.80125,1,-0.12773671746253967,-1.7031242847442627,1,1
smile.1019_7696,smile.894,0,-0.8792248964309692,1.2825634479522705,0,1
smile.6495_9986,smile.166,0,-1.0733562707901,1.4806584119796753,0,1
smile.7168_8945,smile.3437,0,-1.266731858253479,1.6814013719558716,0,1
smile.1413_900166,smile.2202,1,-0.6847757697105408,-4.034229755401611,1,1
smile.9516_25126,smile.10133,1,-0.17369824647903442,-1.8920881748199463,1,1
smile.6442_15475,smile.6449,0,-1.1145894527435303,1.5235474109649658,0,1
smile.51477_12130,smile.9618,0,-0.5546799898147583,0.9529085159301758,0,1
smile.1019_7695,smile.896,0,-0.7868764400482178,1.187991738319397,0,1
smile.114327_14138,smile.339834,1,0.1982397437095642,-0.16244123876094818,1,1
smile.7421_18448,smile.9319,1,-0.08604374527931213,-1.5259321928024292,0,1
smile.88_900208,smile.516,1,-0.6408812403678894,-3.8577709197998047,1,1
smile.10133_11117,smile.10133,0,-2.0407838821411133,2.4714019298553467,1,1
smile.145226_15158,smile.11030,0,-0.5136954188346863,0.9087091088294983,0,1
smile.88_19478,smile.79696,1,-0.6427634954452515,-3.865631103515625,1,1
smile.10195_7994,smile.10488,1,0.054255276918411255,-0.9280760884284973,1,1
smile.84547_32878,smile.3164,0,-2.098539352416992,2.5304057598114014,0,1
smile.3853_9184,smile.3860,0,-1.2167340517044067,1.6280605792999268,0,1
smile.56997_7780,smile.24144,1,-0.06562045216560364,-1.446508526802063,1,1
smile.114327_14148,smile.9454,1,0.0806177407503128,-0.7876223921775818,0,1
smile.3853_9184,smile.24144,1,0.1821765899658203,0.16247156262397766,1,1
smile.4068_21307,smile.89884,0,-1.335659384727478,1.7497717142105103,0,1
