mutation,interactor,pred_after,pred_logic_0,pred_logic_1,label_after,label_before
smile.56997_7778,smile.57085,0,-0.6870924830436707,0.24580377340316772,0,1
smile.2010_6172,smile.55734,0,-2.304697036743164,1.910518765449524,0,1
smile.5176_8807,smile.9852,0,-0.6599856019020081,0.21801280975341797,0,1
smile.10133_11123,smile.10133,0,-1.2339451313018799,0.8087198734283447,0,1
smile.5354_7812,smile.10488,1,-0.7296267747879028,-1.8510613441467285,0,1
smile.56997_900203,smile.57085,0,-0.6854277849197388,0.24409067630767822,0,1
smile.1413_22896,smile.22806,1,-2.082550287246704,-4.936318874359131,1,1
smile.2010_6159,smile.10488,0,-2.2561867237091064,1.8605140447616577,0,1
smile.1146_31615,smile.3881,1,-2.938096046447754,-6.887337684631348,1,1
smile.79577_20643,smile.147872,1,-2.051724672317505,-4.866023540496826,1,1
smile.4000_7214,smile.4000,1,-2.1709423065185547,-5.1378912925720215,1,1
smile.84547_900214,smile.7186,0,-2.172032117843628,1.7740079164505005,0,1
smile.4088_900229,smile.1406,0,-2.4279658794403076,2.03737211227417,0,1
smile.2010_6161,smile.8815,0,-1.3890905380249023,0.9682983160018921,0,1
smile.3853_9184,smile.8687,0,-1.3353592157363892,0.9128583669662476,0,1
smile.114327_900201,smile.85376,1,-1.5340875387191772,-3.68558406829834,0,1
smile.2896_3634,smile.6449,1,-0.6711984276771545,-1.7178192138671875,1,1
smile.60_12760,smile.60,1,-0.8363819718360901,-2.094510078430176,0,1
smile.2896_3635,smile.80125,1,-1.3673919439315796,-3.3054451942443848,1,1
smile.1019_7696,smile.894,0,-1.183108925819397,0.7562577724456787,0,1
smile.6495_9986,smile.166,0,-1.926302194595337,1.521105408668518,0,1
smile.7168_8945,smile.3437,0,-1.1463624238967896,0.7183840274810791,0,1
smile.1413_900166,smile.2202,1,-2.056783676147461,-4.877560138702393,1,1
smile.9516_25126,smile.10133,1,-1.52876615524292,-3.6734490394592285,1,1
smile.6442_15475,smile.6449,0,-1.8242945671081543,1.4161196947097778,0,1
smile.51477_12130,smile.9618,0,-0.39305371046066284,-0.056841880083084106,0,1
smile.1019_7695,smile.896,0,-1.1840310096740723,0.7572070360183716,0,1
smile.114327_14138,smile.339834,1,-1.2817789316177368,-3.1102099418640137,1,1
smile.7421_18448,smile.9319,1,-0.9736400246620178,-2.4075183868408203,0,1
smile.88_900208,smile.516,1,-2.9838979244232178,-6.991786003112793,1,1
smile.10133_11117,smile.10133,0,-1.212372899055481,0.7865200042724609,1,1
smile.145226_15158,smile.11030,0,-1.093596339225769,0.6642122268676758,0,1
smile.88_19478,smile.79696,1,-3.0090277194976807,-7.049093246459961,1,1
smile.10195_7994,smile.10488,0,-0.7345925569534302,0.2945939302444458,1,1
smile.84547_32878,smile.3164,0,-1.914643406867981,1.509174108505249,0,1
smile.3853_9184,smile.3860,0,-1.3038806915283203,0.8804590702056885,0,1
smile.56997_7780,smile.24144,1,-0.5960181951522827,-1.5463753938674927,1,1
smile.114327_14148,smile.9454,1,-1.4406368732452393,-3.472476005554199,0,1
smile.3853_9184,smile.24144,1,-0.2930366098880768,-0.8419137001037598,1,1
smile.4068_21307,smile.89884,0,-2.353349447250366,1.9605904817581177,0,1
smile.81494_25975,smile.90993,0,-2.2502171993255615,1.8543704748153687,0,1
smile.7050_900158,smile.1487,0,-0.7078968286514282,0.2670832872390747,0,1
smile.767_23161,smile.25896,1,-1.3410588502883911,-3.245394229888916,1,1
smile.3853_900195,smile.3881,0,-1.1737078428268433,0.7465744018554688,0,1
smile.7170_10341,smile.374666,1,-0.41495829820632935,-1.133479356765747,1,1
smile.6440_10367,smile.85027,0,-0.8273158073425293,0.3900151252746582,0,1
smile.1146_31616,smile.386682,1,-2.945988655090332,-6.905336380004883,1,1
smile.114327_14141,smile.9454,1,-1.4436956644058228,-3.4794511795043945,1,1
smile.359_18683,smile.10488,1,-0.4598914682865143,-1.2359466552734375,0,1
smile.50943_27199,smile.122183,0,-0.7703598141670227,0.331401526927948,1,1
smile.3488_5215,smile.10488,1,-0.1847168654203415,-0.4899764358997345,0,1
smile.56997_7780,smile.116173,0,-0.6632261872291565,0.22124230861663818,0,1
smile.79053_11053,smile.10488,0,-2.579110622406006,2.192841053009033,0,1
smile.5892_12776,smile.22806,1,-0.30659714341163635,-0.8757469654083252,1,1
smile.145226_15181,smile.11030,0,-1.1078181266784668,0.6788477897644043,0,1
smile.81_9356,smile.4223,1,-1.5624943971633911,-3.750364303588867,0,1
smile.3853_9186,smile.373,1,-0.44386836886405945,-1.1994071006774902,1,1
smile.889_35268,smile.83605,0,-2.134229898452759,1.7350951433181763,0,1
smile.3849_30968,smile.3866,1,-0.23402318358421326,-0.2534571588039398,0,1
smile.9247_23002,smile.2275,1,-0.5140492916107178,-1.359450340270996,0,1
smile.3849_30966,smile.125115,1,-0.25849175453186035,-0.7557664513587952,1,1
smile.50484_27909,smile.10193,1,-1.25777006149292,-3.055459499359131,0,1
smile.57761_10895,smile.57096,0,-0.6204155683517456,0.17726188898086548,0,1
smile.212_15642,smile.54971,1,-2.673295021057129,-6.283475399017334,0,1
smile.1146_31616,smile.3881,1,-2.945988655090332,-6.905336380004883,1,1
smile.3689_8970,smile.388677,0,-1.5207027196884155,1.1037847995758057,0,1
smile.4088_20082,smile.8548,0,-2.3423097133636475,1.9492295980453491,0,1
smile.114327_14141,smile.56478,1,-1.2794878482818604,-3.104985237121582,1,1
smile.26119_16945,smile.23550,0,-1.1779396533966064,0.7509799003601074,0,1
smile.5350_10285,smile.1896,0,-2.5999653339385986,2.214386463165283,0,1
smile.5307_11066,smile.11030,0,-1.047914981842041,0.617201566696167,0,1
smile.8419_900226,smile.93426,0,-2.2300121784210205,1.8336182832717896,0,1
smile.4088_900229,smile.79869,0,-2.305708885192871,1.9115630388259888,0,1
smile.1413_22895,smile.9457,1,-2.7535476684570312,-6.466486930847168,1,1
smile.9516_25126,smile.29979,1,-0.7615005970001221,-1.9237476587295532,1,1
smile.6440_10355,smile.85027,0,-0.828547477722168,0.39128267765045166,0,1
smile.114327_14147,smile.7205,1,-0.5712960958480835,-1.4899981021881104,1,1
smile.114327_14148,smile.339834,1,-1.2764294147491455,-3.098010540008545,1,1
smile.4350_14045,smile.51171,0,-0.897118330001831,0.46194034814834595,0,1
smile.6898_28864,smile.7337,1,-1.5885579586029053,-3.809800624847412,1,1
smile.8468_18108,smile.84445,1,-0.8736822605133057,-2.1795709133148193,1,1
smile.88_19478,smile.83473,1,-2.9816513061523438,-6.986662864685059,1,1
smile.56997_900212,smile.10567,1,-0.5893049836158752,-1.5310662984848022,0,1
smile.8529_34486,smile.10488,0,-1.8918572664260864,1.4855716228485107,1,1
smile.56997_900212,smile.57085,0,-0.6731275320053101,0.23143208026885986,0,1
smile.5631_6815,smile.5631,0,-1.650773286819458,1.2375446557998657,0,1
smile.56997_7775,smile.51100,1,-0.5892612934112549,-1.5309666395187378,1,1
smile.71_20919,smile.71,1,-0.7924637794494629,-1.9943572282791138,1,1
smile.7284_900231,smile.171483,0,-1.3727883100509644,0.9515697956085205,0,1
smile.55163_900160,smile.57085,1,-1.5843148231506348,-3.800124168395996,0,1
smile.11144_32386,smile.79734,1,-1.0748039484024048,-2.638216495513916,1,1
smile.84547_900215,smile.51282,0,-1.9256534576416016,1.5205045938491821,0,1
smile.55163_8612,smile.57085,1,-1.5799223184585571,-3.7901077270507812,1,1
smile.88_19478,smile.158297,1,-2.9947218894958496,-7.016469478607178,0,1
smile.50943_27193,smile.122183,0,-0.7760622501373291,0.3372698426246643,1,1
smile.56997_900203,smile.113878,0,-0.6854277849197388,0.24409067630767822,0,1
smile.1437_31715,smile.4223,1,-1.0897477865219116,-2.672295093536377,0,1
smile.114327_900201,smile.2801,1,-1.6099419593811035,-3.858565330505371,0,1
smile.91647_20861,smile.84445,1,-2.588841676712036,-6.090884685516357,1,1
